standard_count,total_CB_count,total_test_count,1 (60950-1),Lab. AH,Lab_AH_log
3,1,5,0,1.6094379124341,0.9591348389208239
2,1,5,0,1.6094379124341,0.9591348389208239
1,1,2,1,0.0,0.0
1,1,2,0,0.0,0.0
1,0,12,0,3.044522437723423,1.3973634811730353
2,1,2,0,0.0,0.0
1,0,1,0,0.6931471805599453,0.5265890341390445
1,0,5,0,2.772588722239781,1.327761429538331
1,0,14,0,1.791759469228055,1.026672031199051
2,1,12,0,1.791759469228055,1.026672031199051
1,0,0,0,2.19722457733622,1.1622831138840006
1,1,2,0,0.0,0.0
1,1,24,0,1.791759469228055,1.026672031199051
1,1,5,0,1.6094379124341,0.9591348389208239
1,1,15,0,3.178053830347946,1.4298455472897516
1,0,7,0,1.791759469228055,1.026672031199051
2,1,9,0,2.995732273553991,1.3852268599316875
1,0,28,0,1.791759469228055,1.026672031199051
2,1,9,0,1.791759469228055,1.026672031199051
2,1,9,0,2.079441541679836,1.1247482629090364
1,0,3,1,0.6931471805599453,0.5265890341390445
1,1,6,0,1.791759469228055,1.026672031199051
1,0,6,0,1.791759469228055,1.026672031199051
2,1,1,0,2.079441541679836,1.1247482629090364
1,1,9,0,1.791759469228055,1.026672031199051
1,1,2,0,2.833213344056216,1.3437034446606386
1,0,9,0,3.091042453358316,1.4087998161504007
1,0,4,1,1.791759469228055,1.026672031199051
2,1,2,0,0.2231435513142098,0.20142422619816863
1,0,16,0,1.749199854809259,1.0113099074533152
1,0,10,0,2.583997552432231,1.2764788121973367
1,0,7,1,2.876385515921425,1.3549031513945011
1,1,5,0,1.704748092238425,0.9950087812478073
1,1,5,0,2.674148649426529,1.3013214458074807
1,1,7,0,2.674148649426529,1.3013214458074807
1,1,6,1,2.674148649426529,1.3013214458074807
1,0,3,1,1.704748092238425,0.9950087812478073
1,0,6,1,2.740840023925201,1.3193101915340342
1,1,1,0,2.656756906714659,1.2965766635409604
2,1,1,0,2.656756906714659,1.2965766635409604
1,1,1,0,0.0,0.0
1,0,1,1,0.0,0.0
2,1,1,0,0.0,0.0
1,0,1,0,0.0,0.0
2,0,1,0,0.0,0.0
1,1,7,0,2.833213344056216,1.3437034446606386
1,1,11,0,1.6094379124341,0.9591348389208239
1,1,0,0,1.6094379124341,0.9591348389208239
1,0,6,0,2.639057329615258,1.291724672728311
1,1,5,0,0.0,0.0
2,1,15,0,3.332204510175204,1.4660765372061442
1,0,3,0,1.6094379124341,0.9591348389208239
